customerid,custemail,addrline,city,state,country,zip,custphone,firstname,lastname
300000,Jennifer.Kxkpkz@mxfoo.com,,,,,,,Jennifer,Kxkpkz
300001,Jacqueline.Mxrshxll@mxfoo.com,,,,,,,Jacqueline,Mxrshxll
300002,john.lxmb@mxfoo.com,,,,,,,john,lxmb
300003,naomi.dfsczpqlx@mxfoo.com,,,,,,,naomi,dfsczpqlx
300004,robert.kzllzr@mxfoo.com,,,,,,,robert,kzllzr
300005,wayne.sfzgzrt@mxfoo.com,,,,,,,wayne,sfzgzrt
300006,karen.bqzck@mxfoo.com,,,,,,,karen,bqzck
300007,lisette.rxmbq@mxfoo.com,,,,,,,lisette,rxmbq
300008,scott.mzyzrs@mxfoo.com,,,,,,,scott,mzyzrs
300009,nancy.qkfnn@mxfoo.com,,,,,,,nancy,qkfnn
300010,April.Gxrdnzr@mxfoo.com,,,,,,,April,Gxrdnzr
300011,amin.hxyzs@mxfoo.com,,,,,,,amin,hxyzs
300012,amanda.qkfrqz@mxfoo.com,,,,,,,amanda,qkfrqz
300013,teri.cxntrzll@mxfoo.com,,,,,,,teri,cxntrzll
300014,peter.sxkzrs@mxfoo.com,,,,,,,peter,sxkzrs
300015,brittany.mxrsh@mxfoo.com,,,,,,,brittany,mxrsh
300016,leslie.clxfbqrnz@mxfoo.com,,,,,,,leslie,clxfbqrnz
300017,pavankumar.chflkkkrf@mxfoo.com,,,,,,,pavankumar,chflkkkrf
300018,Elstin.Prxvzzn@mxfoo.com,,,,,,,Elstin,Prxvzzn
300019,Carolyn.Swfft@mxfoo.com,,,,,,,Carolyn,Swfft
300020,nayab.khxn@mxfoo.com,,,,,,,nayab,khxn
300021,jesse.cxmpbzll@mxfoo.com,,,,,,,jesse,cxmpbzll
300022,mgoin@mxfoo.com,,,,,,,mgoin,
300023,kate.wzbzr@mxfoo.com,,,,,,,kate,wzbzr
300024,rohit.szvxk@mxfoo.com,,,,,,,rohit,szvxk
300025,Jennifer.Kfncxfd@mxfoo.com,,,,,,,Jennifer,Kfncxfd
300026,Mora.Arnqld@mxfoo.com,,,,,,,Mora,Arnqld
300027,kristina.mcgqwxn@mxfoo.com,,,,,,,kristina,mcgqwxn
300028,David.LxRqcqkz@mxfoo.com,,,,,,,David,LxRqcqkz
300029,james.qdqwd@mxfoo.com,,,,,,,james,qdqwd
300030,joshua.yqkng@mxfoo.com,,,,,,,joshua,yqkng
300031,lindsay.cqlz@mxfoo.com,,,,,,,lindsay,cqlz
300032,aaron.dqhzrty@mxfoo.com,,,,,,,aaron,dqhzrty
300033,Sally.Egglzstqn@mxfoo.com,,,,,,,Sally,Egglzstqn
300034,Carmen.Bxrbqzx@mxfoo.com,,,,,,,Carmen,Bxrbqzx
300035,gale.tzzgxrdzn@mxfoo.com,,,,,,,gale,tzzgxrdzn
300036,Elizabeth.Mkrphy2@mxfoo.com,,,,,,,Elizabeth,Mkrphy2
300037,john.hkrlzy@mxfoo.com,,,,,,,john,hkrlzy
300038,michelle.kzmp-mqqrz@mxfoo.com,,,,,,,michelle,kzmp-mqqrz
300039,charolette.bxlzs@mxfoo.com,,,,,,,charolette,bxlzs
300040,adam.gqkld@mxfoo.com,,,,,,,adam,gqkld
300041,tim.dzlxnzy@mxfoo.com,,,,,,,tim,dzlxnzy
300042,christopher.pkglfsf@mxfoo.com,,,,,,,christopher,pkglfsf
300043,daniel.xrmstrqng@mxfoo.com,,,,,,,daniel,xrmstrqng
300044,Karine.Smfth@mxfoo.com,,,,,,,Karine,Smfth
300045,Donna.Rqthzr@mxfoo.com,,,,,,,Donna,Rqthzr
300046,susan.gqdzl@mxfoo.com,,,,,,,susan,gqdzl
300047,margaret.rxymq@mxfoo.com,,,,,,,margaret,rxymq
300048,Robert.Mqrrfs@mxfoo.com,,,,,,,Robert,Mqrrfs
300049,eric.snxdzr@mxfoo.com,,,,,,,eric,snxdzr
300050,Ruby.Rfnzksq@mxfoo.com,,,,,,,Ruby,Rfnzksq
300051,suzanne.bzglzy@mxfoo.com,,,,,,,suzanne,bzglzy
300052,stephaniel.bfzz@mxfoo.com,,,,,,,stephaniel,bfzz
300053,sheila.bzck@mxfoo.com,,,,,,,sheila,bzck
300054,Cassie.Rzzdzr@mxfoo.com,,,,,,,Cassie,Rzzdzr
300055,Sethu.Kkmxr@mxfoo.com,,,,,,,Sethu,Kkmxr
300056,william.fryzr@mxfoo.com,,,,,,,william,fryzr
300057,julia.fqgzlfn@mxfoo.com,,,,,,,julia,fqgzlfn
300058,laurie.nzhf@mxfoo.com,,,,,,,laurie,nzhf
300059,Melanie.Wzxlzr@mxfoo.com,,,,,,,Melanie,Wzxlzr
300060,Katherine.Wqqdhqksz@mxfoo.com,,,,,,,Katherine,Wqqdhqksz
300061,ed.spxdz@mxfoo.com,,,,,,,ed,spxdz
300062,micki.gzss@mxfoo.com,,,,,,,micki,gzss
300063,Victoria.Cqlzmxn@mxfoo.com,,,,,,,Victoria,Cqlzmxn
300064,Jazmyn.Brxdlzy@mxfoo.com,,,,,,,Jazmyn,Brxdlzy
300065,maciej.mfzrzzjzk@mxfoo.com,,,,,,,maciej,mfzrzzjzk
300066,martha.fry@mxfoo.com,,,,,,,martha,fry
300067,lisa.dknn@mxfoo.com,,,,,,,lisa,dknn
300068,trang.dqxn@mxfoo.com,,,,,,,trang,dqxn
300069,jason.rqgzrs@mxfoo.com,,,,,,,jason,rqgzrs
300070,val.hqgwqqd@mxfoo.com,,,,,,,val,hqgwqqd
300071,Janet.Bxrry@mxfoo.com,,,,,,,Janet,Bxrry
300072,mary.lxndgrxf@mxfoo.com,,,,,,,mary,lxndgrxf
300073,tara.cxrbxlfqtfs@mxfoo.com,,,,,,,tara,cxrbxlfqtfs
300074,mmitchell@mxfoo.com,,,,,,,mmitchell,
300075,brian.vzrnzr@mxfoo.com,,,,,,,brian,vzrnzr
300076,david.grxnt@mxfoo.com,,,,,,,david,grxnt
300077,eileen.qnzfll@mxfoo.com,,,,,,,eileen,qnzfll
300078,deborah.qkzzn@mxfoo.com,,,,,,,deborah,qkzzn
300079,KKrey@mxfoo.com,,,,,,,KKrey,
300080,Kelly.Phflbfn@mxfoo.com,,,,,,,Kelly,Phflbfn
300081,Caitlin.Hznxklt@mxfoo.com,,,,,,,Caitlin,Hznxklt
300082,reba.mxtthzws@mxfoo.com,,,,,,,reba,mxtthzws
300083,luisa.vfllx@mxfoo.com,,,,,,,luisa,vfllx
300084,pat.vqzpzl@mxfoo.com,,,,,,,pat,vqzpzl
300085,tabitha.rzzvzr@mxfoo.com,,,,,,,tabitha,rzzvzr
300086,donetta.fqrsyth@mxfoo.com,,,,,,,donetta,fqrsyth
300087,Laurie.Pzyszr@mxfoo.com,,,,,,,Laurie,Pzyszr
300088,christina.sxntfzmmq@mxfoo.com,,,,,,,christina,sxntfzmmq
300089,cynthia.txnzzy@mxfoo.com,,,,,,,cynthia,txnzzy
300090,heather.rkmszy@mxfoo.com,,,,,,,heather,rkmszy
300091,allison.zfnk@mxfoo.com,,,,,,,allison,zfnk
300092,Dave.Ffsk@mxfoo.com,,,,,,,Dave,Ffsk
300093,oran.gxllzn@mxfoo.com,,,,,,,oran,gxllzn
300094,sarah.lzwfs@mxfoo.com,,,,,,,sarah,lzwfs
300095,Chezare.Bzrry@mxfoo.com,,,,,,,Chezare,Bzrry
300096,carol.ffxlx@mxfoo.com,,,,,,,carol,ffxlx
300097,James.Stkmpzr@mxfoo.com,,,,,,,James,Stkmpzr
300098,Jessica.McKzqwn@mxfoo.com,,,,,,,Jessica,McKzqwn
300099,bill.bznzxr@mxfoo.com,,,,,,,bill,bznzxr
300100,Meredith.Wzbb@mxfoo.com,,,,,,,Meredith,Wzbb
300101,amy.dzrzthfk@mxfoo.com,,,,,,,amy,dzrzthfk
300102,prabhakar.rxmxkrfshnxn@mxfoo.com,,,,,,,prabhakar,rxmxkrfshnxn
300103,frey.hwxyf@mxfoo.com,,,,,,,frey,hwxyf
300104,anthony.xrtksq@mxfoo.com,,,,,,,anthony,xrtksq
300105,robert.shzrfdxn@mxfoo.com,,,,,,,robert,shzrfdxn
300106,carolyn.gzck@mxfoo.com,,,,,,,carolyn,gzck
300107,rob.fzrnxndzz@mxfoo.com,,,,,,,rob,fzrnxndzz
300108,tony.hznnfng@mxfoo.com,,,,,,,tony,hznnfng
300109,melody.szllzrs@mxfoo.com,,,,,,,melody,szllzrs
300110,allison.pxrrqtt@mxfoo.com,,,,,,,allison,pxrrqtt
300111,PPatrick@mxfoo.com,,,,,,,PPatrick,
300112,louise.mqqrz@mxfoo.com,,,,,,,louise,mqqrz
300113,hector.rxmfrzz@mxfoo.com,,,,,,,hector,rxmfrzz
300114,jean.lzqnxrd@mxfoo.com,,,,,,,jean,lzqnxrd
300115,jennifer.mxdxmx@mxfoo.com,,,,,,,jennifer,mxdxmx
300116,stephanie.sfmpsqn@mxfoo.com,,,,,,,stephanie,sfmpsqn
300117,lea.qzzrf@mxfoo.com,,,,,,,lea,qzzrf
300118,tracy.vfglfqttf@mxfoo.com,,,,,,,tracy,vfglfqttf
300119,cathleen.mxttfx@mxfoo.com,,,,,,,cathleen,mxttfx
300120,BoxDiscoveryManagement@mxfoo.com,,,,,,,BoxDiscoveryManagement,
300121,kevin.sfzgzl@mxfoo.com,,,,,,,kevin,sfzgzl
300122,dan.spzzzxnq@mxfoo.com,,,,,,,dan,spzzzxnq
300123,jan.mcgqwzn@mxfoo.com,,,,,,,jan,mcgqwzn
300124,Alisha.Txylqr@mxfoo.com,,,,,,,Alisha,Txylqr
300125,Karen.Gxkthfzr@mxfoo.com,,,,,,,Karen,Gxkthfzr
300126,margaret.mzlvfn@mxfoo.com,,,,,,,margaret,mzlvfn
300127,nabard.mqhfzdzn@mxfoo.com,,,,,,,nabard,mqhfzdzn
300128,kimberly.plkmmzr@mxfoo.com,,,,,,,kimberly,plkmmzr
300129,kevin.wxtt@mxfoo.com,,,,,,,kevin,wxtt
300130,julianna.lqpzzdzvfctqrfx@mxfoo.com,,,,,,,julianna,lqpzzdzvfctqrfx
